Area,Year,Value_T,Value_Y,Value_GDP,Value_Fert,Value_Prec_Anom,Value_Irig
Afghanistan,2001,1.518,0.0,182.768949,2.37,-2.5952692307692313,5.662124619658685
Afghanistan,2002,0.874,-2.127659574468088,197.213022,3.16,-1.727269230769231,4.617623709976184
Afghanistan,2003,0.472,1.4492753623188572,208.832636,3.42,0.9027307692307698,7.264280435012142
Afghanistan,2004,0.956,5.88235294117647,228.775784,4.18,-2.583269230769231,5.499894537017507
Afghanistan,2005,0.556,-15.000000000000005,254.824689,3.76,4.624730769230769,5.8390695466413485
Afghanistan,2006,1.47,0.0,279.240934,3.15,-2.5752692307692318,6.085465576365076
Afghanistan,2007,0.774,0.266666666666661,363.357619,2.07,-0.6692692307692312,5.939758400590812
Afghanistan,2008,1.768,-6.914893617021272,387.362338,1.82,0.3607307692307682,5.778563139571684
Afghanistan,2009,0.728,0.0,423.407102,1.86,0.46673076923076984,4.842282941238527
Afghanistan,2010,0.662,-14.285714285714285,521.428191,1.75,6.722730769230768,5.000395600917794
Afghanistan,2011,2.075,-16.666666666666664,593.203248,3.77,-0.5512692307692308,5.391006198074641
Afghanistan,2012,0.945,9.523809523809526,628.116539,2.3400000000000003,1.8167307692307695,5.464999736245186
Afghanistan,2013,1.518,20.485153764581103,622.100518,4.8,0.26073076923076854,5.518332893695595
Afghanistan,2014,1.207,3.1023738048797265,597.584579,9.99,-0.37726923076923136,5.742548140332366
Afghanistan,2015,1.038,-3.7856394764785923,554.403216,13.09,2.932730769230769,5.710894223160116
Afghanistan,2016,1.915,-8.430076868986722,520.252064,13.37,1.8867307692307698,6.481139541018201
Afghanistan,2017,1.515,33.308128542217105,530.149831,19.91,-2.1832692307692305,5.990503824848325
Afghanistan,2018,1.325,18.919407417799846,502.056771,16.89,-0.19726923076923164,5.122336227308603
Afghanistan,2019,1.029,-15.057142700286585,500.522664,10.67,-0.6892692307692307,6.006314127861089
Afghanistan,2020,0.799,-1.266843303488718,516.866543,8.43,-0.4512692307692312,6.506929762743716
Albania,2007,1.709,10.634558845588451,3587.70862,73.23,2.0476153846153835,17.426273458445042
Albania,2008,1.275,2.6336938907260787,4364.06141,67.66,1.07961538461538,9.991532599491956
Albania,2009,1.456,13.360323886639655,4109.893153,79.08,6.417615384615388,16.81511695663032
